subject, ECTS_weight
Advanced Databases, 4
Data Analytics, 4
Embedded Systems 1, 4
Introduction to CPS and Industry 4.0, 3
Modelling and Simulation of CPS, 4
Networked Control Systems, 4
PLC Programming, 3
Security of Cyber-Physical Systems, 4
